feature,score,score_std,input_value,intercept,policy_type,feature_type
Sex,0.0831977307615616,0.008605546175569627,Male,-1.2119818998742342,All Perils,category
MaritalStatus,-0.6300693657483285,0.32400513333429176,Divorced,-1.2119818998742342,All Perils,category
MaritalStatus,0.057117812206016756,0.010080422256186942,Married,-1.2119818998742342,All Perils,category
MaritalStatus,-0.143002616840983,0.025352254376612003,Single,-1.2119818998742342,All Perils,category
MaritalStatus,-0.8649382746474564,0.26580743103374616,Widow,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,1.769970222869372,0.3979138566706571,16 to 17,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,-0.6274807148117564,0.7209885316115334,21 to 25,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,1.0224164796408377,0.650512559000803,26 to 30,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,0.2340123354792748,0.1220968354683192,31 to 35,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,-0.14241616958790226,0.16540324666875425,36 to 40,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,-0.5745787510824956,0.23574582356383933,41 to 50,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,-0.14270871678046868,0.23960956788025098,51 to 65,-1.2119818998742342,All Perils,category
AgeOfPolicyHolder,0.19908856822215132,0.2017806385753386,over 65,-1.2119818998742342,All Perils,category
NumberOfCars,0.03465105265280943,0.009831803557342929,1 vehicle,-1.2119818998742342,All Perils,category
NumberOfCars,-0.40978832658465586,0.2764814297978372,2 vehicles,-1.2119818998742342,All Perils,category
NumberOfCars,-0.8463501051170348,0.10207353115501733,3 to 4,-1.2119818998742342,All Perils,category
NumberOfCars,-1.2558302497001557,0.11539735832851938,5 to 8,-1.2119818998742342,All Perils,category
NumberOfCars,-1.5816321403243094,0.19271226582746157,more than 8,-1.2119818998742342,All Perils,category
PastNumberOfClaims,0.08191339184645732,0.01859653416666255,1,-1.2119818998742342,All Perils,category
PastNumberOfClaims,0.052142165874283546,0.031439286426030354,2 to 4,-1.2119818998742342,All Perils,category
PastNumberOfClaims,-0.6120007505003469,0.08978156594186522,more than 4,-1.2119818998742342,All Perils,category
PastNumberOfClaims,-0.01670271605999062,0.01986311046650666,none,-1.2119818998742342,All Perils,category
PolicyType,0.007068948370064926,0.0029125541686984835,Sedan - All Perils,-1.2119818998742342,All Perils,category
PolicyType,-3.120343652319187,0.7240622909841852,Sport - All Perils,-1.2119818998742342,All Perils,category
PolicyType,0.07338681091823855,0.040835583896037815,Utility - All Perils,-1.2119818998742342,All Perils,category
AgentType,0.0,0.0,External,-1.2119818998742342,All Perils,category
NumberOfSuppliments,0.17944566952727542,0.03837376897636424,1 to 2,-1.2119818998742342,All Perils,category
NumberOfSuppliments,-0.8154586224407849,0.053745203730512406,3 to 5,-1.2119818998742342,All Perils,category
NumberOfSuppliments,-0.16868470283081813,0.02263704005191487,more than 5,-1.2119818998742342,All Perils,category
NumberOfSuppliments,0.20485394859727196,0.01391395542736765,none,-1.2119818998742342,All Perils,category
Days_Policy_Accident,0.027155494060169476,0.3657337575435128,1 to 7,-1.2119818998742342,All Perils,category
Days_Policy_Accident,0.17613632139892435,0.30538423610535637,15 to 30,-1.2119818998742342,All Perils,category
Days_Policy_Accident,-0.07427161705462001,0.3950119402298718,8 to 15,-1.2119818998742342,All Perils,category
Days_Policy_Accident,0.00015412363149712316,0.002253804702947601,more than 30,-1.2119818998742342,All Perils,category
Days_Policy_Accident,-0.13029993357912253,0.22777609406531218,none,-1.2119818998742342,All Perils,category
Days_Policy_Claim,-0.5249493320322585,0.2652592579017864,15 to 30,-1.2119818998742342,All Perils,category
Days_Policy_Claim,-0.2546171849212042,0.19914284622067857,8 to 15,-1.2119818998742342,All Perils,category
Days_Policy_Claim,0.0024543745973431698,0.0012305085341461739,more than 30,-1.2119818998742342,All Perils,category
PoliceReportFiled,0.05852417215955486,0.005915584713000605,No,-1.2119818998742342,All Perils,category
PoliceReportFiled,-2.25977118807074,0.2284161809001855,Yes,-1.2119818998742342,All Perils,category
WitnessPresent,0.008652298647423666,0.0032123987073108683,No,-1.2119818998742342,All Perils,category
WitnessPresent,-1.400390558860793,0.519932679664759,Yes,-1.2119818998742342,All Perils,category
AddressChange_Claim_2,-0.07475680347310014,0.2811096702089705,change,-1.2119818998742342,All Perils,category
AddressChange_Claim_2,0.00512306648345426,0.01926438080168403,no_change,-1.2119818998742342,All Perils,category
