feature,score,score_std,input_value,intercept,policy_type,feature_type
NumberOfSuppliments,-0.16269978604182464,0.03578672703880734,1 to 2,-1.5314750349836255,Collision,category
NumberOfSuppliments,-0.538127223179288,0.04476853912169226,3 to 5,-1.5314750349836255,Collision,category
NumberOfSuppliments,-0.1916724836253111,0.022367408901737055,more than 5,-1.5314750349836255,Collision,category
NumberOfSuppliments,0.27668999284276163,0.013530077330837753,none,-1.5314750349836255,Collision,category
Days_Policy_Accident,-3.6270899563174086,0.9894964513306277,1 to 7,-1.5314750349836255,Collision,category
Days_Policy_Accident,-3.3439550783387637,0.9816080889302843,15 to 30,-1.5314750349836255,Collision,category
Days_Policy_Accident,-0.5416798909302002,0.11068979421354665,8 to 15,-1.5314750349836255,Collision,category
Days_Policy_Accident,0.01539546686115867,0.003962064633647859,more than 30,-1.5314750349836255,Collision,category
Days_Policy_Accident,-0.04380514435089776,0.16073452911257502,none,-1.5314750349836255,Collision,category
Days_Policy_Claim,-0.6318542555945172,0.26452728995593516,15 to 30,-1.5314750349836255,Collision,category
Days_Policy_Claim,0.06627814143834176,0.3383895694514632,8 to 15,-1.5314750349836255,Collision,category
Days_Policy_Claim,0.002016843373363276,0.0013655478016180334,more than 30,-1.5314750349836255,Collision,category
PoliceReportFiled,0.05078215439437921,0.006972116830938611,No,-1.5314750349836255,Collision,category
PoliceReportFiled,-1.5619098786610197,0.2144418306645751,Yes,-1.5314750349836255,Collision,category
WitnessPresent,0.008074978015759291,0.0010883480824598491,No,-1.5314750349836255,Collision,category
WitnessPresent,-1.218666952432429,0.1642523160123191,Yes,-1.5314750349836255,Collision,category
AddressChange_Claim_2,0.0715772979680295,0.05027661139526923,change,-1.5314750349836255,Collision,category
AddressChange_Claim_2,-0.005483799882630112,0.0038518759927423257,no_change,-1.5314750349836255,Collision,category
Age,1.238347612910895,0.3939988278770742,0.0,-1.1953441249017134,All Perils,numeric
Age,1.059116689139977,0.34752877437308727,16.0,-1.1953441249017134,All Perils,numeric
Age,1.059116689139977,0.34752877437308727,17.0,-1.1953441249017134,All Perils,numeric
Age,1.059116689139977,0.34752877437308727,18.0,-1.1953441249017134,All Perils,numeric
Age,1.5202994909172103,0.9438402545868617,19.0,-1.1953441249017134,All Perils,numeric
Age,-2.602527102830049,2.1389308961176097,20.0,-1.1953441249017134,All Perils,numeric
Age,-2.624830563798885,2.1487943662274094,21.0,-1.1953441249017134,All Perils,numeric
Age,0.4112881609270004,0.2910017991849164,22.0,-1.1953441249017134,All Perils,numeric
Age,0.15401313006052678,0.3049553157277459,23.0,-1.1953441249017134,All Perils,numeric
Age,-0.4920305482914083,0.42166061160746254,24.0,-1.1953441249017134,All Perils,numeric
Age,-0.43476822753944755,0.34812598968988656,25.0,-1.1953441249017134,All Perils,numeric
Age,-0.28008698397060383,0.13195071066313824,26.0,-1.1953441249017134,All Perils,numeric
Age,0.16105267316580715,0.05508600503274543,27.0,-1.1953441249017134,All Perils,numeric
Age,0.2568078288422154,0.07761753194967208,28.0,-1.1953441249017134,All Perils,numeric
Age,0.2229779552821548,0.03812144318294349,29.0,-1.1953441249017134,All Perils,numeric
Age,0.20407364916342727,0.045854103911791406,30.0,-1.1953441249017134,All Perils,numeric
Age,0.2080512337574551,0.0300903802689075,31.0,-1.1953441249017134,All Perils,numeric
Age,0.2091068834443766,0.03511352959580251,32.0,-1.1953441249017134,All Perils,numeric
Age,0.16369050180894443,0.05256025979729642,33.0,-1.1953441249017134,All Perils,numeric
Age,0.10610466580097996,0.05666880045327119,34.0,-1.1953441249017134,All Perils,numeric
Age,0.16331876785094318,0.035340695623727165,35.0,-1.1953441249017134,All Perils,numeric
Age,0.1503002883861139,0.02694820749216931,36.0,-1.1953441249017134,All Perils,numeric
Age,0.14782433561575833,0.030134103451458623,37.0,-1.1953441249017134,All Perils,numeric
Age,0.14100757335036415,0.021377880693649185,38.0,-1.1953441249017134,All Perils,numeric
Age,0.12867180049459226,0.014052332880472996,39.0,-1.1953441249017134,All Perils,numeric
Age,0.42323508179075675,0.13708541576877778,40.0,-1.1953441249017134,All Perils,numeric
Age,0.3277365169226185,0.12075512159783813,41.0,-1.1953441249017134,All Perils,numeric
Age,-0.10804101427700126,0.07304635673706363,42.0,-1.1953441249017134,All Perils,numeric
Age,-0.1479422891731377,0.07034501440664691,43.0,-1.1953441249017134,All Perils,numeric
Age,-0.14669090578421354,0.10524084496242914,44.0,-1.1953441249017134,All Perils,numeric
Age,-0.5389121278416937,0.09222503330146603,45.0,-1.1953441249017134,All Perils,numeric
Age,-0.682666889163197,0.15681302513394965,46.0,-1.1953441249017134,All Perils,numeric
Age,-0.6958549013922747,0.12661226516033866,47.0,-1.1953441249017134,All Perils,numeric
Age,-0.01670484901012713,0.09469338035470948,48.0,-1.1953441249017134,All Perils,numeric
Age,0.01630421947396221,0.10976440989651841,49.0,-1.1953441249017134,All Perils,numeric
Age,0.043255681497708476,0.12588498595663164,50.0,-1.1953441249017134,All Perils,numeric
Age,-0.026729919391729258,0.10355497648655405,51.0,-1.1953441249017134,All Perils,numeric
Age,-0.13702331045660426,0.04885092914811491,52.0,-1.1953441249017134,All Perils,numeric
Age,-0.12360542161622302,0.09263616164842674,53.0,-1.1953441249017134,All Perils,numeric
Age,-0.1566815847786817,0.129233859719972,54.0,-1.1953441249017134,All Perils,numeric
Age,-0.5389023641472077,0.1623660332695846,55.0,-1.1953441249017134,All Perils,numeric
Age,-0.5624166549497016,0.18158354455969905,56.0,-1.1953441249017134,All Perils,numeric
Age,-0.4678222817343799,0.14408184086014866,57.0,-1.1953441249017134,All Perils,numeric
Age,-0.20803988822417716,0.06291049188526592,58.0,-1.1953441249017134,All Perils,numeric
Age,-0.3044157420519985,0.1528499165681442,59.0,-1.1953441249017134,All Perils,numeric
Age,-0.1420482025921147,0.09671435664281815,60.0,-1.1953441249017134,All Perils,numeric
Age,0.3927429807068362,0.2661804809328806,61.0,-1.1953441249017134,All Perils,numeric
Age,-0.05519765800745095,0.13834170564517045,62.0,-1.1953441249017134,All Perils,numeric
Age,-0.3123201791481762,0.270945665637274,63.0,-1.1953441249017134,All Perils,numeric
Age,0.05896196481462279,0.11736254425273569,64.0,-1.1953441249017134,All Perils,numeric
Age,-0.2637126916859047,0.19276345566242523,65.0,-1.1953441249017134,All Perils,numeric
Age,-0.12909355028361677,0.11503100004349767,66.0,-1.1953441249017134,All Perils,numeric
Age,0.014150576652298252,0.15651264547375357,67.0,-1.1953441249017134,All Perils,numeric
Age,0.2885593137732571,0.2968586213184256,68.0,-1.1953441249017134,All Perils,numeric
Age,0.16605853645000632,0.20349153227510305,69.0,-1.1953441249017134,All Perils,numeric
Age,-0.675389773379019,0.7326969448635688,70.0,-1.1953441249017134,All Perils,numeric
Age,-0.23470631034477557,0.17521726694972498,71.0,-1.1953441249017134,All Perils,numeric
Age,0.2811214953793343,0.11433765907012677,72.0,-1.1953441249017134,All Perils,numeric
Age,0.28053055401298177,0.18379348314006919,73.0,-1.1953441249017134,All Perils,numeric
Age,-0.048929228096807345,0.37422242094741986,74.0,-1.1953441249017134,All Perils,numeric
Age,-1.0513932647980844,0.365109736118116,75.0,-1.1953441249017134,All Perils,numeric
Age,-0.9409230205172248,0.42748227735709754,76.0,-1.1953441249017134,All Perils,numeric
Age,-1.3253215687440016,0.7630331149263686,77.0,-1.1953441249017134,All Perils,numeric
Age,-0.9121232028255698,0.20907367710972305,78.0,-1.1953441249017134,All Perils,numeric
Age,-3.945531022892745,1.294479552666788,79.0,-1.1953441249017134,All Perils,numeric
Age,-3.9978440240846944,1.2976968723991222,80.0,-1.1953441249017134,All Perils,numeric
Deductible,1.8301100410418703,0.32272758790860334,300.0,-1.1953441249017134,All Perils,numeric
Deductible,-0.01995775145016312,0.005373541268067114,400.0,-1.1953441249017134,All Perils,numeric
Deductible,1.0745479839090242,0.2754435112805325,500.0,-1.1953441249017134,All Perils,numeric
Deductible,-0.1608499575276659,0.10111880419270897,700.0,-1.1953441249017134,All Perils,numeric
